symbol,entry_time,exit_time,exit_time_15m,side,setup,matched_rule,r_multiple,r15m,hours_to_expiry,expiry_blocked,applied_risk_pct,pretp1,taken,pnl_krw
BNBUSDT,2025-07-12 20:00:00+00:00,2025-07-14 12:00:00+00:00,2025-07-14 08:00:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,2.0965338802372275,2.2418506570195924,300.0,False,0.996462384418414,False,True,42987780.0
LINKUSDT,2025-07-13 12:00:00+00:00,2025-07-13 20:00:00+00:00,2025-07-13 19:15:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,2.009750638751568,2.353331797749267,284.0,False,0.996462384418414,False,True,45125445.0
ADAUSDT,2025-07-13 16:00:00+00:00,2025-07-17 00:00:00+00:00,2025-07-17 03:45:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,0.7049499840561221,0.7049499840561221,280.0,False,0.996462384418414,False,True,13517508.0
AVAXUSDT,2025-07-14 12:00:00+00:00,2025-07-16 12:00:00+00:00,2025-07-16 15:45:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,0.4979421002334339,0.4979421002334328,260.0,False,0.996462384418414,True,False,0.0
LINKUSDT,2025-07-14 20:00:00+00:00,2025-07-15 00:00:00+00:00,2025-07-15 00:30:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-1.087935993230513,-1.0879359932305133,252.0,False,0.996462384418414,True,True,-21855403.0
XRPUSDT,2025-07-15 00:00:00+00:00,2025-07-15 20:00:00+00:00,2025-07-15 18:30:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,1.7916330519830213,2.0522943608881348,248.0,False,1.6227227595325122,False,True,66411718.0
ETHUSDT,2025-07-15 08:00:00+00:00,2025-07-17 00:00:00+00:00,2025-07-16 17:15:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,2.577974798481446,2.211724893321808,240.0,False,0.996462384418414,False,True,43949380.0
SOLUSDT,2025-07-17 00:00:00+00:00,2025-07-19 00:00:00+00:00,2025-07-19 03:45:00+00:00,long,a_mss+a_score_ge13+a_vol_expansion,a_mss+a_score_ge13+a_vol_expansion||range||long,0.3440166475164841,0.3440166475164841,200.0,False,0.0,True,False,0.0
SOLUSDT,2025-07-30 04:00:00+00:00,2025-07-30 12:00:00+00:00,2025-07-30 10:00:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,2.242201949879941,2.2113206361069704,724.0,False,1.056555032293037,False,True,49485550.0
BTCUSDT,2025-07-31 00:00:00+00:00,2025-07-31 12:00:00+00:00,2025-07-31 13:45:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,0.0444317844557346,0.0444317844557346,704.0,False,1.056555032293037,False,True,1017538.0
SOLUSDT,2025-07-31 12:00:00+00:00,2025-08-01 04:00:00+00:00,2025-07-31 23:45:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,2.462572738074859,2.168408733055752,692.0,False,1.056555032293037,False,True,49682303.0
LINKUSDT,2025-08-01 00:00:00+00:00,2025-08-03 00:00:00+00:00,2025-08-03 03:45:00+00:00,long,a_mss+a_room+a_score_ge13+a_trend_counter,a_mss+a_room+a_score_ge13+a_trend_counter||range||long,-0.5189413075780086,-0.5189413075780087,680.0,False,11.209064665009105,True,True,-126140941.0
