symbol,side,entry_time,exit_time,entry,sl,r_multiple,net_pnl
ADAUSDT,short,2022-02-09 16:00:00+00:00,2022-02-10 03:47:00+00:00,1.2072,1.2174964285714287,2.9625390218522014,2.9625390218522014
ADAUSDT,short,2022-02-24 16:00:00+00:00,2022-02-28 22:35:00+00:00,0.8321,0.952944,-1.0,-1.0
ADAUSDT,long,2022-04-02 12:00:00+00:00,2022-04-02 18:09:00+00:00,1.1717,1.1529308571428571,-1.0,-1.0
ADAUSDT,long,2022-05-05 12:00:00+00:00,2022-05-07 21:59:00+00:00,0.8144,0.7578377142857143,-1.0,-1.0
ADAUSDT,long,2022-07-19 00:00:00+00:00,2022-07-19 04:00:00+00:00,0.4836,0.47950535714285714,-1.0,-1.0
ADAUSDT,short,2022-07-20 00:00:00+00:00,2022-07-25 08:59:00+00:00,0.5294,0.5548571428571428,1.292368125701459,1.292368125701459
ADAUSDT,short,2022-08-05 04:00:00+00:00,2022-08-10 12:59:00+00:00,0.5119,0.5575068571428571,-0.46703503232596655,-0.46703503232596655
ADAUSDT,long,2022-08-15 12:00:00+00:00,2022-08-18 23:18:00+00:00,0.5541,0.518684,-1.0,-1.0
ADAUSDT,short,2022-09-04 00:00:00+00:00,2022-09-06 01:13:00+00:00,0.4862,0.5103902857142858,-1.0,-1.0
ADAUSDT,short,2022-09-10 08:00:00+00:00,2022-09-13 12:34:00+00:00,0.5173,0.5270228571428571,3.6385542168674663,3.6385542168674663
ADAUSDT,long,2022-09-13 16:00:00+00:00,2022-09-18 21:10:00+00:00,0.4627,0.45100228571428574,-1.0,-1.0
ADAUSDT,short,2022-09-15 04:00:00+00:00,2022-09-20 12:59:00+00:00,0.4767,0.5027862857142857,1.3110337122954587,1.3110337122954587
ADAUSDT,short,2022-10-24 16:00:00+00:00,2022-10-24 20:16:00+00:00,0.3592,0.36088928571428575,-1.0,-1.0
ADAUSDT,short,2022-11-02 16:00:00+00:00,2022-11-02 20:06:00+00:00,0.4037,0.4059732142857143,5.378633150039218,5.378633150039218
ADAUSDT,short,2022-12-03 08:00:00+00:00,2022-12-08 16:59:00+00:00,0.3227,0.330652,1.509054325955733,1.509054325955733
ADAUSDT,short,2022-12-06 20:00:00+00:00,2022-12-07 00:40:00+00:00,0.3178,0.3188022857142857,-1.0,-1.0
ADAUSDT,short,2023-01-09 00:00:00+00:00,2023-01-09 04:00:00+00:00,0.2998,0.302672,-1.0,-1.0
ADAUSDT,long,2023-01-11 04:00:00+00:00,2023-01-12 02:52:00+00:00,0.3121,0.30668342857142855,2.120054858107395,2.120054858107395
ADAUSDT,long,2023-01-16 00:00:00+00:00,2023-01-18 15:54:00+00:00,0.348,0.3341662857142857,-1.0,-1.0
ADAUSDT,long,2023-01-22 20:00:00+00:00,2023-01-28 04:59:00+00:00,0.369,0.34609028571428574,0.9777511723037041,0.9777511723037041
ADAUSDT,short,2023-02-13 20:00:00+00:00,2023-02-14 15:10:00+00:00,0.3564,0.3742377142857143,-1.0,-1.0
ADAUSDT,long,2023-02-16 16:00:00+00:00,2023-02-17 00:01:00+00:00,0.4034,0.385512,-1.0,-1.0
ADAUSDT,long,2023-02-20 00:00:00+00:00,2023-02-20 08:17:00+00:00,0.3922,0.3902607142857143,8.023941068140042,8.023941068140042
ADAUSDT,short,2023-02-27 12:00:00+00:00,2023-03-01 01:34:00+00:00,0.3668,0.37236285714285716,2.361581920903951,2.361581920903951
ADAUSDT,long,2023-03-14 04:00:00+00:00,2023-03-14 08:12:00+00:00,0.3402,0.3377732142857143,-1.0,-1.0
ADAUSDT,short,2023-03-14 12:00:00+00:00,2023-03-14 19:18:00+00:00,0.3646,0.36869885714285716,3.952600027882286,3.952600027882286
ADAUSDT,long,2023-03-15 08:00:00+00:00,2023-03-20 16:59:00+00:00,0.3359,0.3112622857142857,-0.0365293626495947,-0.0365293626495947
ADAUSDT,long,2023-03-18 20:00:00+00:00,2023-03-24 04:59:00+00:00,0.3441,0.31495485714285715,0.6724962748019763,0.6724962748019763
ADAUSDT,short,2023-03-21 20:00:00+00:00,2023-03-27 04:59:00+00:00,0.3751,0.38686914285714286,1.9882501456593478,1.9882501456593478
ADAUSDT,long,2023-04-21 16:00:00+00:00,2023-04-27 00:59:00+00:00,0.3945,0.3741285714285714,0.7559607293127606,0.7559607293127606
ADAUSDT,long,2023-04-27 08:00:00+00:00,2023-04-27 12:31:00+00:00,0.4053,0.4024767857142857,-1.0,-1.0
ADAUSDT,long,2023-04-28 12:00:00+00:00,2023-04-29 17:31:00+00:00,0.4028,0.39982321428571427,-1.0,-1.0
ADAUSDT,short,2023-06-03 16:00:00+00:00,2023-06-05 16:14:00+00:00,0.3777,0.38665028571428567,2.3183298218732142,2.3183298218732142
ADAUSDT,short,2023-06-23 00:00:00+00:00,2023-06-23 04:02:00+00:00,0.2907,0.29295,-1.0,-1.0
ADAUSDT,long,2023-06-25 12:00:00+00:00,2023-06-26 16:45:00+00:00,0.2913,0.28353028571428573,-1.0,-1.0
ADAUSDT,long,2023-07-14 12:00:00+00:00,2023-07-14 17:17:00+00:00,0.3492,0.33281142857142854,-1.0,-1.0
ADAUSDT,short,2023-07-27 00:00:00+00:00,2023-07-30 04:21:00+00:00,0.3094,0.314844,-1.0,-1.0
ADAUSDT,short,2023-08-02 00:00:00+00:00,2023-08-04 12:30:00+00:00,0.3117,0.3179914285714286,2.6875567665758147,2.6875567665758147
ADAUSDT,short,2023-08-08 04:00:00+00:00,2023-08-08 13:04:00+00:00,0.2923,0.29639714285714286,-1.0,-1.0
ADAUSDT,long,2023-09-29 16:00:00+00:00,2023-10-02 18:39:00+00:00,0.249,0.24223542857142857,2.0157121135326888,2.0157121135326888
ADAUSDT,long,2023-10-02 16:00:00+00:00,2023-10-04 00:31:00+00:00,0.2585,0.255388,-1.0,-1.0
ADAUSDT,long,2023-10-04 00:00:00+00:00,2023-10-04 04:13:00+00:00,0.2567,0.25461028571428573,-1.0,-1.0
ADAUSDT,long,2023-10-22 08:00:00+00:00,2023-10-22 12:00:00+00:00,0.2578,0.25687499999999996,-1.0,-1.0
ADAUSDT,short,2023-10-22 16:00:00+00:00,2023-10-22 22:58:00+00:00,0.2604,0.263488,-1.0,-1.0
ADAUSDT,long,2023-10-23 12:00:00+00:00,2023-10-23 22:45:00+00:00,0.2627,0.256332,2.0778894472361893,2.0778894472361893
ADAUSDT,long,2023-10-25 04:00:00+00:00,2023-10-25 16:23:00+00:00,0.2782,0.27515085714285714,2.8371439280359727,2.8371439280359727
ADAUSDT,long,2023-11-09 20:00:00+00:00,2023-11-10 00:10:00+00:00,0.3566,0.35376964285714285,3.946372239747677,3.946372239747677
ADAUSDT,short,2024-01-22 12:00:00+00:00,2024-01-27 20:59:00+00:00,0.4975,0.52132,0.3610411418975648,0.3610411418975648
ADAUSDT,long,2024-02-01 00:00:00+00:00,2024-02-01 05:28:00+00:00,0.4938,0.48915085714285717,-1.0,-1.0
ADAUSDT,short,2024-02-06 16:00:00+00:00,2024-02-08 07:59:00+00:00,0.5018,0.5263045714285713,-1.0,-1.0
ADAUSDT,long,2024-02-25 16:00:00+00:00,2024-02-26 09:35:00+00:00,0.5829,0.5766594285714286,-1.0,-1.0
ADAUSDT,long,2024-02-28 20:00:00+00:00,2024-02-29 07:18:00+00:00,0.6209,0.607516,4.8577405857740334,4.8577405857740334
ADAUSDT,long,2024-03-05 16:00:00+00:00,2024-03-05 20:38:00+00:00,0.5516,0.5284371428571428,3.8051066979153827,3.8051066979153827
ADAUSDT,short,2024-03-26 20:00:00+00:00,2024-03-27 01:13:00+00:00,0.6675,0.6711785714285714,-1.0,-1.0
ADAUSDT,short,2024-04-11 00:00:00+00:00,2024-04-12 18:36:00+00:00,0.5904,0.6183342857142857,4.498619208346124,4.498619208346124
ADAUSDT,long,2024-05-06 12:00:00+00:00,2024-05-11 20:59:00+00:00,0.4542,0.41302057142857146,-0.35454595914742487,-0.35454595914742487
ADAUSDT,long,2024-05-21 20:00:00+00:00,2024-05-22 12:34:00+00:00,0.493,0.481,-1.0,-1.0
ADAUSDT,short,2024-06-13 04:00:00+00:00,2024-06-14 21:25:00+00:00,0.4333,0.4443902857142857,2.3001854905193904,2.3001854905193904
ADAUSDT,short,2024-07-01 00:00:00+00:00,2024-07-01 04:00:00+00:00,0.3945,0.39750114285714283,-1.0,-1.0
ADAUSDT,short,2024-07-11 12:00:00+00:00,2024-07-12 13:56:00+00:00,0.4037,0.4097554285714286,-1.0,-1.0
ADAUSDT,short,2024-07-27 12:00:00+00:00,2024-07-30 01:22:00+00:00,0.4233,0.4317114285714286,2.0197010869565264,2.0197010869565264
ADAUSDT,long,2024-09-11 12:00:00+00:00,2024-09-11 16:09:00+00:00,0.3323,0.33105892857142855,4.801438848920848,4.801438848920848
ADAUSDT,long,2024-09-14 16:00:00+00:00,2024-09-15 03:45:00+00:00,0.3516,0.3502678571428572,2.302949061662217,2.302949061662217
ADAUSDT,long,2024-09-24 12:00:00+00:00,2024-09-29 20:59:00+00:00,0.3674,0.34433542857142857,1.4481084161236766,1.4481084161236766
ADAUSDT,long,2024-09-27 16:00:00+00:00,2024-09-30 14:59:00+00:00,0.4007,0.3807754285714286,-1.0,-1.0
ADAUSDT,short,2024-10-02 00:00:00+00:00,2024-10-02 04:00:00+00:00,0.3564,0.35902321428571426,-1.0,-1.0
ADAUSDT,long,2024-10-02 08:00:00+00:00,2024-10-02 12:00:00+00:00,0.3531,0.35035535714285715,-1.0,-1.0
ADAUSDT,short,2024-10-03 08:00:00+00:00,2024-10-08 16:59:00+00:00,0.343,0.36866000000000004,-0.1519875292283693,-0.1519875292283693
ADAUSDT,long,2024-11-07 04:00:00+00:00,2024-11-07 13:17:00+00:00,0.3698,0.36746607142857146,2.470543228768192,2.470543228768192
ADAUSDT,long,2024-11-08 20:00:00+00:00,2024-11-10 01:04:00+00:00,0.4381,0.42427714285714285,4.859859446052091,4.859859446052091
ADAUSDT,long,2024-11-11 16:00:00+00:00,2024-11-12 00:19:00+00:00,0.5984,0.5885660714285714,-1.0,-1.0
ADAUSDT,long,2024-11-13 00:00:00+00:00,2024-11-16 15:45:00+00:00,0.5608,0.48384685714285713,2.3669839902575234,2.3669839902575234
ADAUSDT,long,2024-11-24 12:00:00+00:00,2024-11-29 20:59:00+00:00,0.9607,0.8672965714285714,0.9185958300704774,0.9185958300704774
ADAUSDT,long,2024-12-06 20:00:00+00:00,2024-12-07 03:22:00+00:00,1.2197,1.202909142857143,-1.0,-1.0
ADAUSDT,long,2024-12-10 12:00:00+00:00,2024-12-10 16:00:00+00:00,1.0153,1.0010125,-1.0,-1.0
ADAUSDT,long,2024-12-16 00:00:00+00:00,2024-12-16 11:36:00+00:00,1.0872,1.0613251428571429,-1.0,-1.0
ADAUSDT,long,2025-01-08 04:00:00+00:00,2025-01-08 17:31:00+00:00,0.9708,0.9121480000000001,-1.0,-1.0
ADAUSDT,long,2025-01-10 12:00:00+00:00,2025-01-13 14:34:00+00:00,0.9381,0.8868394285714286,-1.0,-1.0
ADAUSDT,long,2025-01-19 04:00:00+00:00,2025-01-19 08:13:00+00:00,1.0705,1.059178857142857,-1.0,-1.0
ADAUSDT,long,2025-01-20 12:00:00+00:00,2025-01-21 08:41:00+00:00,1.0568,0.955772,-1.0,-1.0
ADAUSDT,short,2025-02-01 00:00:00+00:00,2025-02-01 11:16:00+00:00,0.9582,0.9701537142857143,2.346240260050689,2.346240260050689
ADAUSDT,short,2025-02-12 04:00:00+00:00,2025-02-13 21:09:00+00:00,0.7689,0.8234857142857143,-1.0,-1.0
ADAUSDT,short,2025-03-02 20:00:00+00:00,2025-03-03 00:00:00+00:00,1.115,1.1287857142857143,-1.0,-1.0
ADAUSDT,long,2025-03-03 04:00:00+00:00,2025-03-08 12:59:00+00:00,0.9969,0.63894,-0.5184936864454128,-0.5184936864454128
ADAUSDT,long,2025-03-06 12:00:00+00:00,2025-03-06 16:54:00+00:00,0.9252,0.9096857142857143,-1.0,-1.0
ADAUSDT,long,2025-03-09 16:00:00+00:00,2025-03-15 00:59:00+00:00,0.7989,0.6376919999999999,-0.3455163515458292,-0.3455163515458292
