월,거래,합R,평균R,승률%,PF,누적R
2026-01,31,1.86,0.06,32.3,1.09,1.86
2026-02,12,-1.73,-0.144,25.0,0.81,0.13
2026-03,22,19.75,0.898,45.5,2.65,19.88
2026-04,29,10.63,0.367,41.4,1.7,30.51
2026-05,16,5.88,0.367,43.8,1.65,36.39
2026-06,8,7.59,0.948,50.0,3.3,43.98
