월,거래,합R,평균R,승률%,PF,누적R
2026-01,31,9.54,0.308,25.8,1.82,9.54
2026-02,12,-2.49,-0.208,16.7,0.64,7.05
2026-03,22,21.09,0.958,40.9,3.64,28.14
2026-04,29,9.63,0.332,37.9,1.63,37.77
2026-05,16,5.5,0.344,31.2,2.1,43.27
2026-06,8,7.59,0.948,50.0,3.3,50.86
