월,거래,합R,평균R,승률%,PF,누적R
2026-01,31,4.62,0.149,29.0,1.28,4.62
2026-02,12,-1.73,-0.144,25.0,0.81,2.89
2026-03,22,21.75,0.989,45.5,3.18,24.64
2026-04,29,10.63,0.367,41.4,1.7,35.27
2026-05,16,6.88,0.43,43.8,1.86,42.15
2026-06,8,7.59,0.948,50.0,3.3,49.74
