월,거래,합R,평균R,승률%,PF,누적R
2026-01,31,7.54,0.243,25.8,1.55,7.54
2026-02,12,0.27,0.022,25.0,1.04,7.81
2026-03,22,23.75,1.08,45.5,3.97,31.56
2026-04,29,10.63,0.367,41.4,1.7,42.19
2026-05,16,7.88,0.492,43.8,2.13,50.07
2026-06,8,7.59,0.948,50.0,3.3,57.66
