버전,기준,승률%,expR,PF_R,합R,포트CAGR%,포트PF,월승률%,최종USD
"낙관(진입봉,frozen)",진입시각부터 TP체크,51.6,0.607,2.33,682.1,366.0,1.97,96,7403967
정직(entry+4h),진입봉 스킵(v4와 일치),45.9,0.411,1.8,461.3,178.6,1.73,82,813220
