백테,룰셋,레벨,진입수,전체PF,OOS_PF,MDD_R,자본CAGR%,자본MDD%,최종,WF_pf_fixed평균,WF_PF≥1비율%
라이브엔진 풀런,v4(42),트레이드+KRW자본,1131,1.667,1.311,-12.5,81.9,-11.12,2.41억원,1.598,93
라이브엔진 풀런,a3(63),트레이드+KRW자본,1667,1.383,1.385,-32.0,69.2,-26.12,1.76억원,1.429,79
