scenario_name,execution_model,strategy_variant,risk_multiplier,effective_notional_cap,sa_cap_tag,symbol,entry_time,exit_time,side,entry,fill_entry,fill_vs_refined_pct,avg_entry_exec,sl,qty,notional,requested_notional,risk_pct_requested,risk_pct_base,actual_risk_amount,risk_per_unit_exec,r_multiple,net_pnl,result,exit_reason,hold_bars,score,grade,run_potential,rp_action,tier,tier_mult,pre_entry_total,pre_entry_sweep,wick_ratio_5,tp_plan_name,expansion_state,a_sweep,a_volume,a_pre_total_ge4,a_sweep_count_2_4,a_score_ge13,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_mss,a_fvg,a_ob,a_overlap,zone_has_ob,zone_has_fvg,h1_refined,h1_overlap_frac,zone_low_pre,zone_high_pre,ob_mode,sweep_recent_n,disp_atr_mult,disp_body_ratio,mss_mode,n_combos_matched,a_room,a_efficiency,a_bb_squeeze,a_vol_expansion,n_atoms_true,atoms_true,tag_sweep,tag_volume,pass_vol,pass_sweep,pass_d1,pass_pull,pass_atr,pass_combo,pass_count,filter_groups_active,entry_refined,entry_improved_by,max_rr_seen,runner_max_rr_seen,runner_candidate_2of3,post_2of3_apply_ok,runner_protected,proxy_runner,balance_at_entry,phase_at_entry,entry_cost_mode,slippage_applied_pct,split_tranches_used,balance_after_exit,phase_at_exit,month,btc_match_ts,btc_dist,btc_zone,a_fvg_absent,a_trend_counter,matched_rule,n_rules_matched,rule_natoms
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,LINKUSDT,2025-08-28 08:00:00+00:00,2025-08-28 12:00:00+00:00,short,24.171,24.171,0.0,24.171,24.334732142857142,6418.144529899916,155132.97143221088,155132.97143221088,0.008,0.008,1050.856557047361,0.16373214285714255,-1.1481252590249758,-1206.5149567580957,loss,stop,1,8.5,B,1,rp_boost_rp1_x1.5,C,1.0,1,0,0.3708040593286482,base,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,0.29065743944636757,23.966,24.255,engulf,10,1.3,0.45,legacy,1,True,False,True,False,4,"a_pre_total_ge1,a_room",False,False,False,False,False,False,False,none,0,False,True,0.29065743944636757,2.381939142763668,,False,False,False,False,131357.06963092013,A,direct_under_threshold,0.0,1,130150.55467416203,A,2025-08,2025-08-28 04:00:00,-0.6152922538048291,range,True,True,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,1,4
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,XRPUSDT,2025-08-25 12:00:00+00:00,2025-08-28 20:00:00+00:00,short,2.9671,2.9671,0.0,2.9671,3.1320177142857144,6483.409564128227,19236.924517724863,19236.924517724863,0.008,0.008,1069.2290860941682,0.16491771428571456,-0.0034314082174329717,-3.6689614723418753,time_exit_non_runner,time_exit_non_runner,20,10.75,S,3,rp_pass_rp3,B,1.0,1,1,0.2141959798994979,expansion,True,False,True,False,False,True,True,True,True,False,True,False,False,False,True,True,0.31410256410257104,2.9564,2.972,engulf,10,1.3,0.45,legacy,1,True,True,False,False,3,"a_volume,a_score_ge13,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_fvg,a_room",False,True,False,True,False,False,False,SWEEP,1,False,True,0.31410256410257104,0.8907472471119784,,False,False,False,False,133653.63576177103,A,direct_under_threshold,0.0,1,130146.88571268969,A,2025-08,2025-08-25 08:00:00,-0.3730349646162241,range,False,False,a_room+a_score_ge13+a_volume||range||short,1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,DOGEUSDT,2025-08-28 08:00:00+00:00,2025-08-29 00:00:00+00:00,short,0.22528,0.22528,0.0,0.22528,0.22841605714285715,335088.45954572316,75488.72816646051,75488.72816646051,0.008,0.008,1050.856557047361,0.0031360571428571404,0.17828957426067302,187.35676816501066,win,stop,4,10.25,A,2,tier_d_skip,D,1.0,0,0,0.3320031923383858,base,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,0.0,0.22528,0.22803,engulf,10,1.3,0.45,legacy,1,True,True,True,False,4,"a_volume,a_score_ge13,a_wick_le_q1,a_fvg,a_room",False,True,False,True,False,False,False,SWEEP,1,False,False,0.0,1.9674386399664772,,False,False,False,False,131357.06963092013,A,direct_under_threshold,0.0,1,130334.24248085471,A,2025-08,2025-08-28 04:00:00,-0.6152922538048291,range,False,True,a_room+a_score_ge13+a_volume||range||short,1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BTCUSDT,2025-09-01 08:00:00+00:00,2025-09-02 00:00:00+00:00,short,109738.5,109738.5,0.0,109738.5,110573.34857142858,3.4345789556449016,376905.542724038,376905.542724038,0.022,0.022,2867.3533345788032,834.848571428578,0.5188778085503968,1487.8060145859222,win,stop,4,12.25,S,4,rp_pass_rp4,B,1.0,0,0,0.18895768213512792,base,False,False,True,False,False,True,True,False,True,True,True,False,False,False,True,False,0.0,109738.5,110508.0,engulf,10,1.3,0.45,legacy,1,True,False,True,False,4,"a_volume,a_score_ge13,a_wick_le_q1,a_trend_align,a_mss,a_fvg,a_room",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,2.801106787543998,,False,False,False,False,130334.24248085471,A,direct_under_threshold,0.0,1,131822.04849544063,A,2025-09,2025-09-01 04:00:00,-1.1829920642660612,down,False,False,a_mss+a_room+a_volume||down||short,1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,SOLUSDT,2025-09-01 20:00:00+00:00,2025-09-02 00:00:00+00:00,long,198.3,198.3,0.0,198.3,197.0974857142857,1083.8477682070559,214927.01243545918,214927.01243545918,0.01,0.01,1303.342424808547,1.202514285714301,0.9345455141608081,1218.032816520298,win,stop,1,10.0,A,2,rp_pass_rp2,C,1.0,1,0,0.3437185929648214,base,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,True,0.03846153846155738,198.26,199.3,engulf,10,1.3,0.45,legacy,1,True,False,True,False,3,"a_score_ge13,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_room",False,False,False,True,False,False,False,SWEEP,1,False,True,0.03846153846155738,4.157954761452142,,False,False,False,False,130334.24248085471,A,direct_under_threshold,0.0,1,133040.08131196094,A,2025-09,2025-09-01 16:00:00,-0.9296334212723807,range,True,False,a_fvg_absent+a_room+a_score_ge13||range||long,1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,AVAXUSDT,2025-09-02 08:00:00+00:00,2025-09-02 16:00:00+00:00,short,24.242,24.242,0.0,24.23657393848764,24.369982142857143,9355.685918965894,226749.77352028457,226800.5380475712,0.009,0.009,1248.1252590942736,0.13340820436950196,1.869483918809073,2333.3501005361522,win,stop,2,8.5,B,1,rp_boost_rp1_x1.5,B,1.0,0,0,0.1873873873873882,base,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0,24.242,24.397,engulf,10,1.3,0.45,legacy,1,True,False,True,False,4,"a_wick_le_q1,a_room",False,False,True,True,False,False,False,SWEEP+VOLUME,2,False,False,0.0,5.5212042015612885,4.914045141271016,True,True,True,True,133040.08131196094,A,orderbook_split_proxy,0.09800000000000002,5,135373.4314124971,A,2025-09,2025-09-02 04:00:00,-0.375353553761972,range,True,True,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,1,4
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BNBUSDT,2025-09-02 08:00:00+00:00,2025-09-03 12:00:00+00:00,short,856.84,856.84,0.0,856.84,868.4737714285715,137.22815387473798,117582.5713660305,117582.5713660305,0.012,0.012,1596.4809757435312,11.633771428571436,0.17647390540348054,281.7372326918202,win,stop,7,10.5,B,1,tier_d_skip,D,1.0,0,0,0.2307692307692325,base,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,0.0,856.84,865.94,engulf,10,1.3,0.45,legacy,1,True,False,True,False,6,"a_volume,a_score_ge13,a_wick_le_q1,a_room",False,True,True,True,False,False,False,SWEEP+VOLUME,2,False,False,0.0,1.344361980637649,,False,False,False,False,133040.08131196094,A,direct_under_threshold,0.0,1,135655.1686451889,A,2025-09,2025-09-02 04:00:00,-0.375353553761972,range,True,True,a_fvg_absent+a_ob+a_room+a_score_ge13+a_trend_counter||range||short,3,5
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,AVAXUSDT,2025-09-03 20:00:00+00:00,2025-09-04 04:00:00+00:00,long,25.169,25.169,0.0,25.172690357456048,25.01967857142857,8176.29813407974,205819.4211994349,205789.24773665296,0.009,0.009,1251.0699805886695,0.15301178602747711,-1.1640147149183375,-1456.2638667978101,loss,stop,2,8.5,B,2,rp_pass_rp2,B,1.0,2,0,0.11986863711001743,expansion,True,False,True,False,False,False,True,True,True,False,False,True,False,True,False,True,0.4838709677419349,25.079,25.265,engulf,10,1.3,0.45,legacy,1,True,True,False,False,4,"a_volume,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_room",False,True,False,False,False,False,False,none,0,False,True,0.4838709677419349,0.6228908570927819,,False,False,False,False,135655.1686451889,A,orderbook_split_proxy,0.09800000000000002,5,134198.9047783911,A,2025-09,2025-09-03 16:00:00,1.3816209684257577,up,True,False,a_fvg_absent+a_room+a_volume||up||long,1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,LINKUSDT,2025-09-04 12:00:00+00:00,2025-09-04 16:00:00+00:00,long,22.821,22.821,0.0,22.826321840273895,22.716875,10310.600127031268,235353.07686598468,235298.2054989806,0.008,0.008,1128.462605231175,0.10944684027389329,-1.208060811652036,-1363.2514507945443,loss,stop,1,8.5,B,1,rp_boost_rp1_x1.5,B,1.0,0,0,0.20793140407288221,base,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0,22.505,22.821,engulf,10,1.3,0.45,legacy,1,True,False,True,False,5,"a_volume,a_wick_le_q1,a_room",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,0.0,,False,False,False,False,134198.9047783911,A,orderbook_split_proxy,0.091,5,132835.65332759655,A,2025-09,2025-09-04 08:00:00,1.2996089540065745,up,True,True,a_fvg_absent+a_ob+a_room+a_trend_counter||up||long,2,4
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BTCUSDT,2025-09-04 20:00:00+00:00,2025-09-05 04:00:00+00:00,short,110150.0,110150.0,0.0,110150.0,112633.32628571428,1.176802416186141,129624.78614290344,129624.78614290344,0.022,0.022,2922.384373207124,2483.3262857142836,-1.044855830578388,-3053.4703515366314,loss,stop,2,10.75,S,3,rp_pass_rp3,S,1.0,2,2,0.1730549026698011,expansion,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,False,0.0,110150.0,110366.0,engulf,10,1.3,0.45,legacy,1,True,False,True,False,3,"a_volume,a_sweep_count_2_4,a_score_ge13,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_fvg,a_room",False,True,False,False,False,False,False,none,0,False,False,0.0,0.0,,False,False,False,False,132835.65332759655,A,direct_under_threshold,0.0,1,129782.18297605992,A,2025-09,2025-09-04 16:00:00,0.9788352254763824,range,False,False,a_room+a_score_ge13+a_volume||range||short,1,3
