name,n,win_pct,PF,IS_PF,OOS_PF,oosN,expR,Sharpe,MDD_R,tot_R,r6_PF,r6_n,pf_2023,n_2023,pf_2024,n_2024,pf_2025,n_2025,pf_2026,n_2026,all_years_ge1,final_cap,mult_vs_dep,CAGR_pct,MDD_cap_pct,LA_mismatch,LA_checked
negcut2_all,1359,54.45,1.303,1.2118,1.3886,408,0.1635,0.1166,-22.014,222.23,1.3108,898,1.6686,124,1.2503,483,1.317,541,1.3075,211,True,12461.14,7.1207,100.05,-20.22,0.0,157300.0
negcut2_countertrend,555,56.76,1.4529,1.1572,1.7658,167,0.2051,0.1322,-18.096,113.83,1.3609,367,1.7911,52,1.4533,195,1.5173,216,1.3562,92,True,,,,,,
