scenario_name,execution_model,strategy_variant,risk_multiplier,effective_notional_cap,sa_cap_tag,symbol,entry_time,exit_time,side,entry,fill_entry,fill_vs_refined_pct,avg_entry_exec,sl,qty,notional,requested_notional,risk_pct_requested,risk_pct_base,actual_risk_amount,risk_per_unit_exec,r_multiple,net_pnl,result,exit_reason,hold_bars,score,grade,run_potential,rp_action,tier,tier_mult,pre_entry_total,pre_entry_sweep,wick_ratio_5,tp_plan_name,expansion_state,a_sweep,a_volume,a_pre_total_ge4,a_sweep_count_2_4,a_score_ge13,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_mss,a_fvg,a_ob,a_overlap,zone_has_ob,zone_has_fvg,h1_refined,h1_overlap_frac,zone_low_pre,zone_high_pre,ob_mode,sweep_recent_n,disp_atr_mult,disp_body_ratio,mss_mode,n_combos_matched,a_room,a_efficiency,a_bb_squeeze,a_vol_expansion,n_atoms_true,atoms_true,tag_sweep,tag_volume,pass_vol,pass_sweep,pass_d1,pass_pull,pass_atr,pass_combo,pass_count,filter_groups_active,entry_refined,entry_improved_by,max_rr_seen,runner_max_rr_seen,runner_candidate_2of3,post_2of3_apply_ok,runner_protected,proxy_runner,balance_at_entry,phase_at_entry,entry_cost_mode,slippage_applied_pct,split_tranches_used,balance_after_exit,phase_at_exit,month,matched_setup,n_setups_matched
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BNBUSDT,2026-01-22 04:00:00+00:00,2026-01-22 08:00:00+00:00,long,890.08,890.08,0.0,890.08,886.3160714285715,359.2426403944237,319754.68936226866,319754.68936226866,0.012,0.012,1352.1636382560037,3.7639285714285506,0.4131986739728615,558.7122223217007,win,stop,1,9.5,B,1,rp_boost_rp1_x1.5,C,1.0,3,0,0.27542754275427156,base,False,False,True,True,False,False,True,True,False,False,False,True,False,True,False,True,0.9656249999999962,883.68,890.08,engulf,10,1.3,0.45,legacy,1,True,False,False,True,5,"a_volume,a_pre_total_ge4,a_wick_le_q1,a_pre_total_ge1,a_room",False,True,False,True,False,False,False,SWEEP,1,False,True,0.9656249999999962,2.045734889458196,,False,False,False,False,112680.30318800031,A,direct_under_threshold,0.0,1,113239.01541032201,A,2026-01,ob+pre_total_ge1+pre_total_ge4+vol_expansion+volume+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,ETHUSDT,2026-01-21 20:00:00+00:00,2026-01-23 12:00:00+00:00,long,2972.23,2972.23,0.0,2972.23,2902.7963999999997,24.342746851956363,72352.24247579026,72352.24247579026,0.015,0.015,1690.2045478200046,69.4336000000003,-1.042306796709374,-1761.7116880218848,loss,stop,10,8.0,B,1,tier_d_skip,D,1.0,0,0,0.2347372991749907,base,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,1.0,2969.18,2972.23,engulf,10,1.3,0.45,legacy,1,True,True,False,True,4,"a_sweep,a_volume,a_wick_le_q1,a_room",True,True,False,True,False,False,False,SWEEP,1,False,True,1.0,0.9398907733431578,,False,False,False,False,112680.30318800031,A,direct_under_threshold,0.0,1,111477.30372230013,A,2026-01,room+sweep+vol_expansion+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BTCUSDT,2026-01-21 16:00:00+00:00,2026-01-23 16:00:00+00:00,long,87947.8,87947.8,0.0,87947.8,86257.72857142857,1.466782189337051,129000.26663137709,129000.26663137709,0.022,0.022,2478.9666701360065,1690.0714285714348,1.0807160749756954,2679.0591297449546,time_exit_non_runner,time_exit_non_runner,12,8.25,B,2,rp_pass_rp2,B,1.0,0,0,0.22866776504846964,base,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.0,87858.8,87947.8,engulf,10,1.3,0.45,legacy,1,True,True,False,True,3,"a_sweep,a_wick_le_q1,a_room",True,False,False,True,False,False,False,SWEEP,1,False,False,0.0,1.9213389121338824,,False,False,False,False,112680.30318800031,A,direct_under_threshold,0.0,1,114156.36285204509,A,2026-01,room+sweep+vol_expansion+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,ADAUSDT,2026-01-25 20:00:00+00:00,2026-01-26 04:00:00+00:00,short,0.3538,0.3538,0.0,0.3538,0.35619885714285715,380702.49640986865,134692.54322981153,134692.54322981153,0.008,0.008,913.2509028163607,0.002398857142857147,2.4870598261076693,2271.30963155113,win,stop,2,8.75,B,3,rp_pass_rp3,S,1.0,4,2,0.1645569620253161,base,False,False,True,True,True,False,True,True,True,False,True,False,False,False,True,True,0.05940594059405837,0.3355,0.3557,engulf,10,1.3,0.45,legacy,1,True,True,False,False,8,"a_volume,a_pre_total_ge4,a_sweep_count_2_4,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_fvg,a_room",False,True,True,False,False,False,False,VOLUME,1,False,True,0.05940594059405837,6.3780371605526245,3.751786565030964,True,True,True,True,114156.36285204509,A,direct_under_threshold,0.0,1,116427.67248359622,A,2026-01,efficiency+fvg+room+sweep_count_2_4+trend_align+wick_le_q1,2
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,SOLUSDT,2026-01-26 00:00:00+00:00,2026-01-26 04:00:00+00:00,short,120.15,120.15,0.0,120.15,121.42902857142857,892.5239467054431,107236.752196659,107236.752196659,0.01,0.01,1141.563628520451,1.2790285714285687,-1.094438480096502,-1249.3711625313701,loss,stop,1,8.0,B,3,rp_pass_rp3,B,1.0,1,1,0.06035889070146883,base,False,False,True,False,False,False,True,True,True,False,True,False,False,False,True,False,0.0,120.15,121.29,engulf,10,1.3,0.45,legacy,1,True,True,False,False,6,"a_volume,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_fvg,a_room",False,True,False,False,False,False,False,none,0,False,False,0.0,0.0,,False,False,False,False,114156.36285204509,A,direct_under_threshold,0.0,1,115178.30132106485,A,2026-01,efficiency+fvg+volume+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,DOGEUSDT,2026-01-26 04:00:00+00:00,2026-01-26 12:00:00+00:00,short,0.12129,0.12129,0.0,0.12129,0.12370394285714285,381710.11705683806,46297.620097823885,46297.620097823885,0.008,0.008,921.4264105685188,0.002413942857142859,-1.0507455970078592,-968.184743871627,loss,stop,2,8.75,B,3,rp_pass_rp3,B,1.0,2,0,0.1457541191381512,base,False,False,True,False,False,False,True,True,True,False,True,False,False,False,True,True,0.2675438596491221,0.12129,0.12357,engulf,10,1.3,0.45,legacy,1,True,True,False,False,6,"a_volume,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_fvg,a_room",False,True,True,False,False,False,False,VOLUME,1,False,True,0.2675438596491221,0.2858394091468593,,False,False,False,False,115178.30132106485,A,direct_under_threshold,0.0,1,114210.11657719323,A,2026-01,efficiency+fvg+volume+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,SOLUSDT,2026-01-27 20:00:00+00:00,2026-01-29 16:00:00+00:00,short,125.98,125.98,0.0,125.98,128.71771428571427,417.1732498645166,52555.486017931806,52555.486017931806,0.01,0.01,1142.1011657719323,2.7377142857142616,1.9572388645376835,2235.3647888826213,win,stop,11,8.75,B,3,tier_d_skip,D,1.0,0,0,0.26559356136821083,base,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,0.0,125.98,126.24,engulf,10,1.3,0.45,legacy,1,True,True,False,True,5,"a_volume,a_wick_le_q1,a_trend_align,a_fvg,a_room",False,True,False,False,False,False,False,none,0,False,False,0.0,3.904717178042196,3.904717178042196,False,False,False,False,114210.11657719323,A,direct_under_threshold,0.0,1,116445.48136607585,A,2026-01,efficiency+fvg+room+vol_expansion+volume+wick_le_q1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BNBUSDT,2026-01-29 20:00:00+00:00,2026-01-30 00:00:00+00:00,short,867.25,867.25,0.0,867.25,870.3278571428572,402.8093907157423,349336.44409822754,349336.44409822754,0.012,0.012,1239.789760424392,3.0778571428571695,0.8187792875377141,1015.114176736837,win,stop,1,8.75,B,3,rp_pass_rp3,B,1.0,0,0,0.10023866348448222,base,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,0.0,867.25,868.49,engulf,10,1.3,0.45,legacy,1,True,True,False,True,5,"a_volume,a_wick_le_q1,a_trend_align,a_fvg,a_room",False,True,False,False,False,False,False,none,0,False,False,0.0,10.393594801578006,,True,True,False,True,116445.48136607585,A,direct_under_threshold,0.0,1,117460.59554281269,A,2026-01,efficiency+fvg+room+vol_expansion+volume+wick_le_q1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,ETHUSDT,2026-01-30 08:00:00+00:00,2026-01-30 12:00:00+00:00,short,2756.93,2756.93,0.0,2756.93,2786.7029142857145,59.17824893573046,163150.28983838335,163150.28983838335,0.015,0.015,1761.9089331421903,29.772914285714705,0.5577264060718673,982.6631371073117,win,stop,1,8.75,B,3,rp_pass_rp3,B,1.0,1,0,0.12686777558500303,base,False,False,True,False,False,False,True,True,True,False,True,False,False,False,True,True,1.0,2756.93,2781.38,engulf,10,1.3,0.45,legacy,1,True,True,False,True,6,"a_volume,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_fvg,a_room",False,True,False,False,False,False,False,none,0,False,True,1.0,2.281603989052332,,False,False,False,False,117460.59554281269,A,direct_under_threshold,0.0,1,118443.25867992,A,2026-01,efficiency+fvg+room+vol_expansion+volume+wick_le_q1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,AVAXUSDT,2026-01-27 20:00:00+00:00,2026-01-31 04:00:00+00:00,short,12.112,12.112,0.0,12.112,12.562045714285713,2283.9703091632596,27663.4483845854,27663.4483845854,0.009,0.009,1027.891049194739,0.4500457142857126,2.676239801036093,2750.882936983709,time_exit_non_runner,time_exit_non_runner,20,9.0,B,2,tier_d_skip,D,1.0,0,0,0.3644251626898068,expansion,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,0.0,12.112,12.174,engulf,10,1.3,0.45,legacy,1,True,True,False,False,3,"a_volume,a_trend_align,a_room",False,True,False,True,False,False,False,SWEEP,1,False,False,0.0,3.4152086137281437,,False,False,False,False,114210.11657719323,A,direct_under_threshold,0.0,1,121194.14161690371,A,2026-01,efficiency+ob+room,1
