valid,n,pf_fixed,n_keep,pf_pruned
2023-01,104,0.885,95,1.034
2023-04,56,1.434,46,1.833
2023-07,53,1.225,34,1.576
2023-10,92,1.561,62,1.501
2024-01,70,2.692,51,4.137
2024-04,51,1.529,30,0.768
2024-07,73,2.018,52,1.998
2024-10,89,2.711,78,2.619
2025-01,64,1.323,57,1.143
2025-04,70,1.427,56,1.216
2025-07,68,1.503,47,1.759
2025-10,61,1.885,40,2.515
2026-01,65,1.043,54,1.031
2026-04,45,0.893,13,0.669
